Deutsch;D
Französisch;F
Englisch;E
Mathematik;M
Anwendung der Mathematik;AM
Anwendungen der Wirtschaft;AW
Russisch;R
Italienisch;I
Spanisch;S
Wirtschaft und Recht;WR
Geschichte;G
Geografie;GG
Biologie;B
Biologie Praktikum;BP
Physik;P
Physik Praktikum;PP
Chemie;C
Chemie Praktikum;CP
Bildnerisches Gestalten;BG
Kunstbetrachtung;KB
Musik;MS
Sport;SP
Informatik;IN
Informatik Praktikum;INP
Klassenstunde;KS
Berufsfeldmethodenunterricht;BfM
Projektarbeit;PA
Reflexion SA; ReSA




Anwendungen der Mathematik;AM
Anwendungen der Wirtschaftsgeografie;AWGG
Anwendungen der Wirtschaftsgeschichte;AWGS
Bildnerisches Gestalten;BG
Biologie;B
Biologie Praktikum;Bp
Chemie;C
Chemie Praktikum;Eh
Geschichte;G
Geografie;GG
Italienisch;I
Kunst Betrachtung;KB
Mathematik;M
Musik;MS
Physik;P
Physik Praktikum;Ph
Russisch;R
Spanisch;S
Sport;SP
Wirtschaft;WR
2.Klassen Pool Naturwissenschaften;P2nw
2.Klassen Pool ka;P2ka
2.Klassen Pool sa;P2sa
2.Klassen Pool sb;P2sb
2.Klassen Pool sc;P2sc
2.Klassen Pool wa;P2wa
2.Klassen Pool wb;P2wb
2.Klassen Pool wc;P2wc
3.Klassen Pool Naturwissenschaften;P3nw
3.Klassen Pool ka;P3ka
3.Klassen Pool sa;P3sa
3.Klassen Pool sb;P3sb
3.Klassen Pool sc;P3sc
3.Klassen Pool wa;P3wa
3.Klassen Pool wb;P3wb
3.Klassen Pool wc;P3wc
